title,pdf,arxiv,keywords,conference_day
ParallelVLM: Lossless Video-LLM Acceleration with Visual Alignment Aware Parallel Speculative Decoding,https://openaccess.thecvf.com/content/CVPR2026/papers/Kong_ParallelVLM_Lossless_Video-LLM_Acceleration_with_Visual_Alignment_Aware_Parallel_Speculative_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.19610,Video-LLM acceleration; speculative decoding; draft-then-verify framework; visual token pruning; video tokens; autoregressive decoding; Unbiased Verifier-Guided Pruning; attention-guided pruning; draft and target models; long-video understanding,2026-06-05
Rethinking Knowledge Transfer in Image Quality Assessment: A Perceptual Preference Structure Alignment Perspective,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Rethinking_Knowledge_Transfer_in_Image_Quality_Assessment_A_Perceptual_Preference_CVPR_2026_paper.pdf,,Image Quality Assessment; perceptual preference structure; knowledge transfer; cross-domain generalization; transfer learning; perceptual preference representation; dataset bias; conditional distribution mismatch; domain alignment; data-efficient learning,2026-06-05
EMO-R3: Reflective Reinforcement Learning for Emotional Reasoning in Multimodal Large Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Fang_EMO-R3_Reflective_Reinforcement_Learning_for_Emotional_Reasoning_in_Multimodal_Large_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.23802,Multimodal Large Language Models; emotional reasoning; Reflective Reinforcement Learning; EMO-R3; Structured Emotional Thinking; Reflective Emotional Reward; visual-text consistency; emotional coherence; visual emotional understanding benchmarks; emotional intelligence,2026-06-05
Illumination-Consistent Human-Scene Reconstruction from Monocular Video,https://openaccess.thecvf.com/content/CVPR2026/papers/Zheng_Illumination-Consistent_Human-Scene_Reconstruction_from_Monocular_Video_CVPR_2026_paper.pdf,,3D Gaussian Splatting; human-scene reconstruction; monocular video; spatially-varying illumination; shadow estimation; photometric consistency; learnable light volume; human mesh; novel view synthesis; human relighting,2026-06-05
MixFlow Training: Alleviating Exposure Bias with Slowed Interpolation Mixture,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_MixFlow_Training_Alleviating_Exposure_Bias_with_Slowed_Interpolation_Mixture_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.19311,diffusion models; exposure bias; MixFlow Training; slowed interpolation mixture; Slow Flow phenomenon; slowed timestep; prediction network post-training; class-conditional image generation; text-to-image generation; RAE models,2026-06-05
TTP: Test-Time Padding for Adversarial Detection and Robust Adaptation on Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_TTP_Test-Time_Padding_for_Adversarial_Detection_and_Robust_Adaptation_on_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.16523,Test-Time Padding; adversarial detection; robust adaptation; Vision-Language Models; CLIP; adversarial perturbations; cosine similarity shift; spatial padding; trainable padding; similarity-aware ensemble,2026-06-05
DP-FedAdamW: An Efficient Optimizer for Differentially Private Federated Large Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_DP-FedAdamW_An_Efficient_Optimizer_for_Differentially_Private_Federated_Large_Models_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.19945,Differentially Private Federated Learning; DP-FedAdamW; AdamW optimizer; second-moment estimator; DP-induced bias; client drift; data heterogeneity; local overfitting; linearly accelerated convergence; privacy noise,2026-06-05
MLLM-HWSI: A Multimodal Large Language Model for Hierarchical Whole Slide Image Understanding,https://openaccess.thecvf.com/content/CVPR2026/papers/Alawode_MLLM-HWSI_A_Multimodal_Large_Language_Model_for_Hierarchical_Whole_Slide_CVPR_2026_paper.pdf,,Whole Slide Image analysis; Multimodal Large Language Models; Hierarchical visual features; Computational Pathology; Multi-scale embeddings; Cell-level representation; Contrastive learning; Cross-scale consistency; Medical image understanding; Vision-language alignment,2026-06-05
Frequency-Aware Flow Matching for High-Quality Image Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Ren_Frequency-Aware_Flow_Matching_for_High-Quality_Image_Generation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.15521,Frequency-Aware Flow Matching; flow matching models; realistic image generation; Gaussian noise corruption; latent domain noise injection; frequency-aware conditioning; time-dependent adaptive weighting; low-frequency components; high-frequency components; ImageNet-256 generation benchmark,2026-06-05
SAGE: Style-Adaptive Generalization for Privacy-Constrained Semantic Segmentation Across Domains,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_SAGE_Style-Adaptive_Generalization_for_Privacy-Constrained_Semantic_Segmentation_Across_Domains_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.02369,domain generalization; semantic segmentation; privacy-constrained segmentation; frozen models; input-level adaptation; visual prompts; style transfer; style-adaptive generalization; feature distribution alignment; dynamic prompting,2026-06-05
