title,pdf,arxiv,keywords,conference_day
Training-free Motion Factorization for Compositional Video Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Training-free_Motion_Factorization_for_Compositional_Video_Generation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.09104,compositional video generation; motion factorization; motionlessness; rigid motion; non-rigid motion; motion graph; planning before generation; motion cues; diffusion model architectures; motion synthesis,2026-06-06
Decouple Your Discovery and Memory in Continual Generalized Category Discovery,https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_Decouple_Your_Discovery_and_Memory_in_Continual_Generalized_Category_Discovery_CVPR_2026_paper.pdf,,Continual Generalized Category Discovery; category discovery; unlabeled data; anti-forgetting strategies; stability-plasticity trade-off; dual-branch architecture; novel class recognition; old class memorization; knowledge retention; recursive category consolidation,2026-06-06
Synthesizing Visual Concepts as Vision-Language Programs,https://openaccess.thecvf.com/content/CVPR2026/papers/Wust_Synthesizing_Visual_Concepts_as_Vision-Language_Programs_CVPR_2026_paper.pdf,,Vision-Language Programs; vision-language models; systematic visual reasoning; inductive reasoning; neuro-symbolic program synthesis; structured visual descriptions; symbolic program synthesis; human-interpretable explanations; shortcut mitigation; complex logical reasoning,2026-06-06
Learning Scene Coordinate Reconstruction from Unposed Images via Pose Graph Optimization,https://openaccess.thecvf.com/content/CVPR2026/papers/Tse_Learning_Scene_Coordinate_Reconstruction_from_Unposed_Images_via_Pose_Graph_CVPR_2026_paper.pdf,,pose graph optimization; ACE-Zero; learning-based structure-from-motion; scene coordinate reconstruction; unposed images; camera pose estimation; relative pose constraints; uncertainty-aware optimization; epipolar consistency; optical flow consistency,2026-06-06
Memory-Augmented Scene Understanding and Exploration for Open-World Aerial Object-Goal Navigation,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhou_Memory-Augmented_Scene_Understanding_and_Exploration_for_Open-World_Aerial_Object-Goal_Navigation_CVPR_2026_paper.pdf,,Aerial ObjectNav; Unmanned Aerial Vehicle navigation; open-world aerial object-goal navigation; OctMem-Agent; octree memory representation; RGB-D observation aggregation; hierarchical 3D representation; unexplored frontiers; instruction-guided memory query; UAV-ON benchmark,2026-06-06
GTR-Turbo: Merged Checkpoint is Secretly a Free Teacher for Agentic VLM Training,https://openaccess.thecvf.com/content/CVPR2026/papers/Wei_GTR-Turbo_Merged_Checkpoint_is_Secretly_a_Free_Teacher_for_Agentic_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.13043,GTR-Turbo; multi-turn reinforcement learning; vision-language models; multi-modal agents; sparse rewards; long-horizon credit assignment; checkpoint weight merging; free teacher model; soft logit distillation; entropy collapse,2026-06-06
ReMoGen: Real-time Human Interaction-to-Reaction Generation via Modular Learning from Diverse Data,https://openaccess.thecvf.com/content/CVPR2026/papers/Ye_ReMoGen_Real-time_Human_Interaction-to-Reaction_Generation_via_Modular_Learning_from_Diverse_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.01082,real-time interaction-to-reaction generation; human motion generation; modular learning; universal motion prior; Meta-Interaction modules; segment-level generation; Frame-wise Segment Refinement; human-human interaction; human-scene interaction; temporal coherence,2026-06-06
PALM: Progress-Aware Policy Learning via Affordance Reasoning for Long-Horizon Robotic Manipulation,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_PALM_Progress-Aware_Policy_Learning_via_Affordance_Reasoning_for_Long-Horizon_Robotic_CVPR_2026_paper.pdf,https://arxiv.org/abs/2601.07060,vision-language-action models; long-horizon robotic manipulation; progress-aware policy learning; affordance reasoning; subtask progress cues; affordance representations; visuomotor control; contact geometry; motion dynamics; LIBERO-LONG,2026-06-06
DSFlash: Comprehensive Panoptic Scene Graph Generation in Realtime,https://openaccess.thecvf.com/content/CVPR2026/papers/Lorenz_DSFlash_Comprehensive_Panoptic_Scene_Graph_Generation_in_Realtime_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.10538,panoptic scene graph generation; Scene Graph Generation; low-latency model; realtime video stream processing; resource constrained edge devices; comprehensive scene graphs; salient relationships; embodied agent reasoning; resource-efficient training; DSFlash,2026-06-06
Reliev3R: Relieving Feed-forward 3D Reconstruction from Multi-View Geometric Annotations,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Reliev3R_Relieving_Feed-forward_3D_Reconstruction_from_Multi-View_Geometric_Annotations_CVPR_2026_paper.pdf,,Feed-forward Reconstruction Models; weakly-supervised 3D reconstruction; multi-view geometric annotations; 3D point maps; camera poses; monocular relative depth; sparse image correspondences; zero-shot pretrained models; relative depth loss; reprojection loss,2026-06-06
AdapTok: Learning Adaptive and Temporally Causal Video Tokenization in a 1D Latent Space,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_AdapTok_Learning_Adaptive_and_Temporally_Causal_Video_Tokenization_in_a_CVPR_2026_paper.pdf,,adaptive video tokenization; temporal causal video tokenizer; 1D latent space; block-wise masking; block causal scorer; adaptive token allocation; integer linear programming; content-aware token budgeting; video reconstruction; generative video modeling,2026-06-06
Attend Before Attention: Efficient and Scalable Video Understanding via Autoregressive Gazing,https://openaccess.thecvf.com/content/CVPR2026/papers/Shi_Attend_Before_Attention_Efficient_and_Scalable_Video_Understanding_via_Autoregressive_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.12254,AutoGaze; autoregressive gazing; video understanding; multi-modal large language models; redundant patch removal; visual token reduction; multi-scale patches; long high-resolution videos; VideoMME; HLVid,2026-06-06
Text-guided Feature Disentanglement for Cross-modal Gait Recognition,https://openaccess.thecvf.com/content/CVPR2026/papers/Lu_Text-guided_Feature_Disentanglement_for_Cross-modal_Gait_Recognition_CVPR_2026_paper.pdf,,cross-modal gait recognition; LiDAR-Camera Cross-modal Gait Recognition; modality gap; 2D videos; 3D point cloud sequences; Text-guided Cross-modal Feature Disentanglement Network; modality-aware textual priors; Gait Modality Text Dictionary; CLIP-based Multi-grained Feature Encoder; residual decomposition,2026-06-06
Point Cloud as a Foreign Language for Multi-modal Large Language Model,https://openaccess.thecvf.com/content/CVPR2026/papers/Paul_Point_Cloud_as_a_Foreign_Language_for_Multi-modal_Large_Language_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.09173,multi-modal large language models; 3D understanding; raw point clouds; end-to-end 3D MLLM; 3D tokenizer; geometric sampling; neighbourhood aggregation; vector quantization; preference optimization; open-ended 3D question answering,2026-06-06
Training-Free Open-Vocabulary Camouflaged Object Segmentation via Fine-Grained Object Binding and Adaptive Hybrid Prompt,https://openaccess.thecvf.com/content/CVPR2026/papers/Ren_Training-Free_Open-Vocabulary_Camouflaged_Object_Segmentation_via_Fine-Grained_Object_Binding_and_CVPR_2026_paper.pdf,,open-vocabulary camouflaged object segmentation; training-free segmentation; fine-grained object binding; adaptive hybrid prompt; vision-language models; CLIP; multimodal large language models; semantic consistency ranking; entropy-guided text embedding adjustment; Segment Anything Model,2026-06-06
RAVEN: Radar Adaptive Vision Encoders for Efficient Chirp-wise Object Detection and Segmentation,https://openaccess.thecvf.com/content/CVPR2026/papers/Sen_RAVEN_Radar_Adaptive_Vision_Encoders_for_Efficient_Chirp-wise_Object_Detection_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.04490,FMCW radar perception; raw ADC data; chirp-wise streaming; MIMO structure; receiver state-space encoders; cross-antenna mixing; virtual-array features; early-exit mechanism; object detection; BEV free-space segmentation,2026-06-06
Generative Video Motion Editing with 3D Point Tracks,https://openaccess.thecvf.com/content/CVPR2026/papers/Lee_Generative_Video_Motion_Editing_with_3D_Point_Tracks_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.02015,generative video motion editing; 3D point tracks; track-conditioned V2V framework; camera motion editing; object motion editing; video-to-video generation; sparse correspondences; spatiotemporal coherence; depth cues; non-rigid deformation,2026-06-06
Event6D: Event-based Novel Object 6D Pose Tracking,https://openaccess.thecvf.com/content/CVPR2026/papers/Kang_Event6D_Event-based_Novel_Object_6D_Pose_Tracking_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.28045,event cameras; 6D object pose tracking; novel objects; event-depth tracking; intensity reconstruction; depth reconstruction; sparse event streams; temporal consistency; synthetic dataset; real-world generalization,2026-06-06
FLOW: Optimal Transport-Driven Feature Warping for Generalized Remote Physiological Measurement,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_FLOW_Optimal_Transport-Driven_Feature_Warping_for_Generalized_Remote_Physiological_Measurement_CVPR_2026_paper.pdf,,remote photoplethysmography; domain-generalized rPPG; optimal transport; feature-level optimal warping; Temporal Refinement Module; cross-temporal optimal transport; learnable prototypes; temporal feature alignment; physiological signal rhythmic patterns; cross-domain physiological measurement,2026-06-06
Region-Wise Correspondence Prediction between Manga Line Art Images,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Region-Wise_Correspondence_Prediction_between_Manga_Line_Art_Images_CVPR_2026_paper.pdf,https://arxiv.org/abs/2509.09501,region-wise correspondence prediction; manga line art images; line art colorization; in-between frame generation; Transformer-based framework; automatically generated region correspondences; patch-level feature alignment; edge-aware clustering; region matching; manually annotated benchmarks,2026-06-06
Unsupervised Multi-agent and Single-agent Perception from Cooperative Views,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_Unsupervised_Multi-agent_and_Single-agent_Perception_from_Cooperative_Views_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.05354,LiDAR-based perception; multi-agent perception; single-agent perception; cooperative views; unsupervised 3D object detection; point cloud density cooperation; pseudo labels; curriculum learning; Cross-View Consensus Learning; Proposal Purifying Filter,2026-06-06
MeanFuser: Fast One-Step Multi-Modal Trajectory Generation and Adaptive Reconstruction via MeanFlow for End-to-End Autonomous Driving,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_MeanFuser_Fast_One-Step_Multi-Modal_Trajectory_Generation_and_Adaptive_Reconstruction_via_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.20060,MeanFuser; multi-modal trajectory generation; end-to-end autonomous driving; Gaussian Mixture Noise; MeanFlow Identity; flow matching; trajectory planning; adaptive reconstruction module; continuous trajectory representation; NAVSIM closed-loop benchmark,2026-06-06
CLIP-like Model as a Foundational Density Ratio Estimator,https://openaccess.thecvf.com/content/CVPR2026/papers/Uchiyama_CLIP-like_Model_as_a_Foundational_Density_Ratio_Estimator_CVPR_2026_paper.pdf,https://arxiv.org/abs/2506.22881,density ratio estimation; CLIP-style models; vision-language encoders; contrastive objectives; log density ratios; Importance Weight Learning; KL divergence estimation; multimodal data; KL-guided data curation; LAION2B filtering,2026-06-06
Edges Compete for Trust: Group Relative Edge Optimization for Building Reconstruction from Point Clouds,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_Edges_Compete_for_Trust_Group_Relative_Edge_Optimization_for_Building_CVPR_2026_paper.pdf,,building reconstruction; point clouds; compact wireframes; edge-based methods; Group Relative Edge Optimization; wireframe reconstruction; reinforcement learning-style optimization; edge-level rewards; group-wise normalization; entropy regularization,2026-06-06
